page,word
5,neste
5,mundo
5,e
5,não
5,lhe
5,suponhas
5,alma
5,subalterna
5,as
5,cortesias
5,que
5,fizesse
5,vinham
5,antes
5,do
5,cálculo
5,que
5,da
5,índole
5,a
5,roupa
5,durava
5,lhe
5,muito
5,ao
5,contrário
5,das
5,pessoas
5,que
5,enxovalham
5,depressa
5,o
5,vestido
5,novo
5,ele
5,trazia
5,o
5,velho
5,escovado
5,e
5,liso
5,cerzido
5,abotoado
5,de
5,uma
5,elegância
5,pobre
5,e
5,modesta
5,era
5,lido
5,posto
5,que
5,de
5,atropelo
5,o
5,bastante
5,para
5,divertir
5,ao
5,serão
5,e
5,à
5,sobremesa
5,ou
5,explicar
5,algum
5,fenômeno
5,falar
5,dos
5,efeitos
5,do
5,calor
5,e
5,do
5,frio
5,dos
5,pólos
5,e
5,de
5,robespierre
5,contava
5,muita
5,vez
5,uma
5,viagem
5,que
5,fizera
5,à
5,europa
5,e
5,confessava
5,que
5,a
5,não
5,sermos
5,nós
5,já
5,teria
5,voltado
5,para
5,lá
5,tinha
5,amigos
5,em
5,lisboa
5,mas
5,a
5,nossa
5,família
5,dizia
5,ele
5,abaixo
5,de
5,deus
5,era
5,tudo
5,abaixo
5,ou
5,acima
5,perguntou
5,lhe
5,tio
5,cosme
5,um
5,dia
5,abaixo
5,repetiu
5,josé
5,dias
5,cheio
5,de
5,veneração
5,e
5,minha
5,mãe
5,que
5,era
5,religiosa
5,gostou
5,de
5,ver
5,que
5,ele
5,punha
5,deus
5,no
5,devido
5,lugar
5,e
5,sorriu
5,aprovando
5,josé
5,dias
5,agradeceu
5,de
5,cabeça
5,minha
5,mãe
5,dava
5,lhe
5,de
6,quando
6,em
6,quando
6,alguns
6,cobres
6,tio
6,cosme
6,que
6,era
6,advogado
6,confiava
6,lhe
6,a
6,cópia
6,de
6,papéis
6,de
6,autos
6,capítulo
6,vi
6,tio
6,cosme
6,tio
6,cosme
6,vivia
6,com
6,minha
6,mãe
6,desde
6,que
6,ela
6,enviuvou
6,já
6,então
6,era
6,viúvo
6,como
6,prima
6,justina
6,era
6,a
6,casa
6,dos
6,três
6,viúvos
6,a
6,fortuna
6,troca
6,muita
6,vez
6,as
6,mãos
6,à
6,natureza
6,formado
6,para
6,as
6,serenas
6,funções
6,do
6,capitalismo
6,tio
6,cosme
6,não
6,enriquecia
6,no
6,foro
6,ia
6,comendo
6,tinha
6,o
6,escritório
6,na
6,antiga
6,rua
6,das
6,violas
6,perto
6,do
6,júri
6,que
6,era
6,no
6,extinto
6,aljube
6,trabalhava
6,no
6,crime
6,josé
6,dias
6,não
6,perdia
6,as
6,defesas
6,orais
6,de
6,tio
6,cosme
6,era
6,quem
6,lhe
6,vestia
6,e
6,despia
6,a
6,toga
6,com
6,muitos
6,cumprimentos
6,no
6,fim
6,em
6,casa
6,referia
6,os
6,debates
6,tio
6,cosme
6,por
6,mais
6,modesto
